Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
6,Sat,2020-10-17,18:30 (09:30),Real Madrid,0.8,0–1,1.6,Cádiz,0,Estadio Alfredo Di Stéfano,Santiago Jaime
6,Sat,2020-10-17,21:00 (12:00),Getafe,1.7,1–0,0.9,Barcelona,0,Coliseum Alfonso Pérez,César Soto
6,Sun,2020-10-18,12:00 (03:00),Eibar,0.3,0–0,0.6,Osasuna,0,Estadio Municipal de Ipurúa,David Medié
6,Sun,2020-10-18,14:00 (05:00),Athletic Club,2.4,2–0,0.4,Levante,0,San Mamés,Alberola Rojas
6,Sun,2020-10-18,16:00 (07:00),Villarreal,1.7,2–1,0.6,Valencia,0,Estadio de la Cerámica,Carlos del Cerro
6,Sun,2020-10-18,18:30 (09:30),Alavés,1.2,0–2,1.2,Elche,0,Estadio de Mendizorroza,Adrián Cordero
6,Sun,2020-10-18,18:30 (09:30),Huesca,1.0,2–2,1.0,Valladolid,0,Estadio El Alcoraz,Jorge Figueroa
6,Sun,2020-10-18,21:00 (12:00),Betis,0.4,0–3,1.6,Real Sociedad,0,Estadio Benito Villamarín,Javier Estrada
7,Fri,2020-10-23,21:00 (12:00),Elche,0.1,2–1,1.7,Valencia,0,Estadio Manuel Martínez Valero,César Soto
7,Sat,2020-10-24,16:00 (07:00),Barcelona,1.1,1–3,3.3,Real Madrid,0,Camp Nou,Juan Martínez
7,Sat,2020-10-24,18:30 (09:30),Sevilla,1.7,0–1,0.4,Eibar,0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
7,Sat,2020-10-24,18:30 (09:30),Osasuna,1.0,1–0,0.8,Athletic Club,0,Estadio El Sadar,Guillermo Cuadra
7,Sat,2020-10-24,21:00 (12:00),Atlético Madrid,1.6,2–0,0.8,Betis,0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
7,Sun,2020-10-25,14:00 (06:00),Valladolid,0.4,0–2,2.6,Alavés,0,Estadio Municipal José Zorrilla,José Luis Munuera
7,Sun,2020-10-25,16:00 (08:00),Cádiz,0.2,0–0,0.6,Villarreal,0,Estadio Nuevo Mirandilla,Ricardo de Burgos
7,Sun,2020-10-25,18:30 (10:30),Getafe,0.8,0–1,1.2,Granada,0,Coliseum Alfonso Pérez,Jesús Gil
7,Sun,2020-10-25,21:00 (13:00),Real Sociedad,1.9,4–1,0.5,Huesca,0,Estadio Municipal de Anoeta,Isidro Díaz de Mera
7,Mon,2020-10-26,21:00 (13:00),Levante,1.2,1–1,0.9,Celta Vigo,0,Estadio Ciudad de Valencia,Mario Melero
8,Fri,2020-10-30,21:00 (13:00),Eibar,0.5,0–2,0.8,Cádiz,0,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
8,Sat,2020-10-31,14:00 (06:00),Real Madrid,1.5,4–1,1.1,Huesca,0,Estadio Alfredo Di Stéfano,Pablo González
8,Sat,2020-10-31,16:15 (08:15),Athletic Club,1.2,2–1,0.7,Sevilla,0,San Mamés,Carlos del Cerro
8,Sat,2020-10-31,18:30 (10:30),Osasuna,0.8,1–3,2.9,Atlético Madrid,0,Estadio El Sadar,Javier Estrada
8,Sat,2020-10-31,21:00 (13:00),Alavés,1.1,1–1,2.3,Barcelona,0,Estadio de Mendizorroza,Alejandro Hernández
8,Sun,2020-11-01,14:00 (05:00),Betis,3.1,3–1,0.5,Elche,0,Estadio Benito Villamarín,David Medié
8,Sun,2020-11-01,16:00 (07:00),Celta Vigo,1.4,1–4,3.4,Real Sociedad,0,Estadio de Balaídos,Adrián Cordero
8,Sun,2020-11-01,18:30 (09:30),Granada,0.6,1–1,1.0,Levante,0,Estadio Nuevo Los Cármenes,Santiago Jaime
8,Sun,2020-11-01,21:00 (12:00),Valencia,1.4,2–2,2.1,Getafe,0,Estadio de Mestalla,Jorge Figueroa
8,Mon,2020-11-02,21:00 (12:00),Villarreal,2.0,2–0,1.0,Valladolid,0,Estadio de la Cerámica,Alberola Rojas
9,Fri,2020-11-06,21:00 (12:00),Elche,1.4,1–1,2.1,Celta Vigo,0,Estadio Manuel Martínez Valero,Ricardo de Burgos
9,Sat,2020-11-07,14:00 (05:00),Huesca,1.6,1–1,0.8,Eibar,0,Estadio El Alcoraz,Mario Melero
9,Sat,2020-11-07,16:15 (07:15),Barcelona,4.4,5–2,1.2,Betis,0,Camp Nou,Guillermo Cuadra
9,Sat,2020-11-07,18:30 (09:30),Sevilla,1.3,1–0,0.5,Osasuna,0,Estadio Ramón Sánchez Pizjuán,Juan Martínez
9,Sat,2020-11-07,21:00 (12:00),Atlético Madrid,1.9,4–0,0.4,Cádiz,0,Estadio Wanda Metropolitano,Adrián Cordero
9,Sun,2020-11-08,14:00 (05:00),Getafe,0.7,1–3,2.0,Villarreal,0,Coliseum Alfonso Pérez,José Luis Munuera
