Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
342,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,24,1996,23.9,5,0,0,77,66,4,14,32,36,0,0,0,216,71,72,49.7
343,Martín Merquelanz\ddd5348b,es ESP,FWMF,Real Sociedad,25,1995,6.1,0,0,0,6,13,2,14,8,2,0,0,0,46,4,8,33.3
344,Roque Mesa\7c4243d4,es ESP,MF,Valladolid,31,1989,19.6,4,1,0,31,39,6,22,13,34,0,0,0,206,14,29,32.6
345,Lionel Messi\d70ce98e,ar ARG,FWMF,Barcelona,33,1987,33.6,4,0,0,22,115,7,66,7,16,0,0,0,122,12,11,52.2
346,Omenuke Mfulu\bdc14559,cd COD,MF,Elche,26,1994,8.8,4,0,0,13,6,0,1,10,15,0,0,0,65,6,6,50.0
347,Míchel\418f8f61,es ESP,MF,Valladolid,32,1988,10.5,3,0,0,18,13,0,21,13,13,0,0,0,118,9,11,45.0
348,Éder Militão\2784f898,br BRA,DF,Real Madrid,22,1998,12.6,3,1,0,14,13,0,2,21,13,0,1,0,98,36,10,78.3
349,Luis Milla\19c36442,es ESP,MF,Granada,25,1994,13.9,1,0,0,21,23,0,10,21,16,0,0,0,134,16,13,55.2
350,Pere Milla\335039a2,es ESP,FWMF,Elche,27,1992,22.0,6,0,0,33,58,6,6,18,21,0,0,0,113,40,52,43.5
351,Alejandro Millán\29ad0dd4,es ESP,FW,Villarreal,20,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
352,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,24,1995,26.8,4,0,0,68,72,12,9,10,19,3,0,0,107,100,123,44.8
353,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,21,1999,21.1,4,0,0,26,19,1,14,25,42,0,0,0,152,15,26,36.6
354,Rafa Mir\bbf5c11b,es ESP,FW,Huesca,23,1997,32.0,2,0,0,65,20,37,18,11,9,1,0,0,105,122,131,48.2
355,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,31,1989,19.2,1,0,0,18,13,1,53,34,24,1,0,0,159,24,26,48.0
356,Juan Miranda\ead61f73,es ESP,DF,Betis,20,2000,18.4,4,0,0,26,23,1,54,27,15,0,0,0,123,33,42,44.0
357,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,34,1985,30.4,4,0,0,36,41,1,50,53,26,0,0,0,229,23,22,51.1
358,Johan Mojica\608f2092,co COL,DF,Elche,27,1992,13.4,3,0,0,16,15,1,47,27,15,0,1,0,117,12,17,41.4
359,Guillem Molina\0bbab654,es ESP,DF,Valencia,20,2000,1.7,1,0,0,4,3,0,0,2,0,0,1,0,18,4,5,44.4
360,Jorge Molina\43f71e77,es ESP,FWMF,Granada,38,1982,17.9,3,0,0,28,31,10,6,2,6,1,0,0,74,85,93,47.8
361,Victor Mollejo\23fffc06,es ESP,MFDF,Getafe,19,2001,0.8,0,0,0,0,2,0,2,0,1,0,0,0,3,1,2,33.3
362,Jon Moncayola\9939e168,es ESP,MF,Osasuna,22,1998,29.6,7,1,1,43,12,0,25,21,28,0,1,0,313,39,34,53.4
363,Nacho Monreal\d4cb83cc,es ESP,DF,Real Sociedad,34,1986,23.1,1,0,0,23,17,2,39,32,20,0,0,0,180,39,28,58.2
364,Ángel Montoro\719384c1,es ESP,MF,Granada,32,1988,15.1,6,0,0,24,20,1,31,15,13,0,0,0,130,12,21,36.4
365,Martín Montoya\5cec2487,es ESP,DF,Betis,29,1991,2.7,0,1,0,2,2,0,5,1,2,0,0,0,27,7,3,70.0
366,Emre Mor\0c3f7197,tr TUR,FWMF,Celta Vigo,23,1997,5.6,2,0,0,7,14,6,4,2,7,0,0,0,23,4,11,26.7
367,Jon Morcillo\b7d7f3bf,es ESP,MFFW,Athletic Club,21,1998,15.1,3,0,0,23,18,3,76,22,7,0,0,0,70,16,20,44.4
368,Alberto Moreno\11b9265b,es ESP,DF,Villarreal,28,1992,2.1,0,0,0,3,4,0,4,1,3,0,0,0,12,0,0,
369,Álex Moreno\16e9d0ea,es ESP,DF,Betis,27,1993,19.8,4,0,0,27,26,0,47,26,25,0,1,0,247,21,26,44.7
370,Gerard Moreno\81f0781e,es ESP,FWMF,Villarreal,28,1992,29.7,3,0,0,47,71,19,42,15,13,0,0,0,126,65,73,47.1
371,Tete Morente\004d185e,es ESP,MFFW,Elche,23,1996,22.4,5,0,0,34,38,5,53,17,27,0,0,0,142,19,25,43.2
372,Loren Morón\3aa4a3be,es ESP,FWMF,Betis,26,1993,11.0,2,0,0,21,31,9,2,7,9,1,0,0,41,33,55,37.5
373,Pedro Mosquera\c5fa58ea,es ESP,MF,Huesca,32,1988,22.8,1,0,0,38,23,0,2,15,24,0,0,0,251,28,43,39.4
374,Javi Moyano\933e8c8a,es ESP,DF,Valladolid,34,1986,1.1,0,0,0,0,1,0,1,0,0,0,0,0,9,3,1,75.0
375,Iker Muniain\c05dfb74,es ESP,MFFW,Athletic Club,27,1992,21.6,1,0,0,19,75,2,34,14,19,1,0,0,122,10,16,38.5
376,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,22,1997,13.4,6,0,0,22,9,0,50,8,14,0,0,0,129,20,19,51.3
377,Joaquín Muñoz\e9fbcc21,es ESP,FW,Huesca,21,1999,0.5,0,0,0,2,2,0,0,0,0,0,0,0,4,1,3,25.0
378,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,28,1992,30.0,11,1,1,48,32,0,0,33,31,0,1,0,269,74,62,54.4
379,Yunus Musah\b51b1b9c,us USA,MF,Valencia,17,2002,17.0,2,0,0,25,34,3,18,8,11,0,0,0,96,18,24,42.9
380,Yoshinori Mutō\5343eb4e,jp JPN,FWMF,Eibar,28,1992,12.5,1,0,0,32,20,7,7,5,10,1,0,0,72,35,50,41.2
381,Nacho\2946f9a1,es ESP,DF,Real Madrid,30,1990,22.2,8,0,0,43,28,2,12,35,21,0,1,0,152,33,32,50.8
382,Nacho\e29d1111,es ESP,DF,Valladolid,31,1989,20.1,3,1,0,18,23,0,43,26,21,0,0,0,193,16,27,37.2
383,Nano\217011a0,es ESP,FW,Cádiz,25,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0
384,Roberto Navarro\c997b942,es ESP,MF,Real Sociedad,18,2002,0.4,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,
385,Ximo Navarro\8db394aa,es ESP,DF,Alavés,30,1990,26.4,6,0,0,32,40,0,26,57,35,1,0,0,206,25,37,40.3
386,Jesús Navas\3f10bd22,es ESP,DF,Sevilla,34,1985,31.4,4,0,0,13,26,2,130,28,18,0,0,0,254,29,19,60.4
387,Raúl Navas\ad178594,es ESP,DF,Osasuna,32,1988,1.9,0,0,0,3,0,0,0,3,5,0,1,0,17,1,0,100.0
388,Álvaro Negredo\63b0ca6b,es ESP,FW,Cádiz,34,1985,24.4,5,1,1,25,40,7,12,2,7,0,1,0,79,133,156,46.0
389,Neto\a9dc785c,br BRA,GK,Barcelona,31,1989,7.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,
390,Carlos Neva\8d47bb39,es ESP,DF,Granada,24,1996,20.0,1,0,0,10,25,1,32,32,7,0,0,0,120,11,38,22.4
391,Mamor Niang\64a76620,sn SEN,FWMF,Getafe,18,2002,0.2,0,0,0,0,1,0,0,1,1,0,0,0,2,1,4,20.0
392,Nieto\3afeb49f,es ESP,FWMF,Cádiz,22,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
393,Saúl Ñíguez\c14bc029,es ESP,MFDF,Atlético Madrid,25,1994,22.6,10,0,0,50,21,7,26,22,52,0,0,0,196,65,66,49.6
394,Nino\03dc5b1f,es ESP,MFFW,Elche,40,1980,3.2,1,0,0,3,6,1,3,0,0,0,0,0,13,1,7,12.5
395,Fernando Niño\81d5c497,es ESP,FW,Villarreal,19,2000,6.6,1,0,0,7,15,6,1,0,1,0,0,0,21,12,16,42.9
396,Nolito\b2d0ec1b,es ESP,MFFW,Celta Vigo,33,1986,28.9,7,0,0,61,45,10,24,24,44,0,2,0,183,14,39,26.4
397,Unai Núñez\be170419,es ESP,DF,Athletic Club,23,1997,23.4,6,0,0,20,12,0,1,25,21,0,3,0,206,77,38,67.0
398,Kelechi Nwakali\877f31c2,ng NGA,MFFW,Huesca,22,1998,1.6,1,0,0,2,1,0,0,0,6,0,0,0,13,2,1,66.7
399,Allan Nyom\97572117,cm CMR,MFDF,Getafe,32,1988,25.8,10,1,0,46,24,1,79,26,24,0,0,0,177,64,41,61.0
400,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,27,1993,38.0,0,0,0,0,5,0,0,0,0,0,0,1,145,0,0,
401,Lucas Ocampos\a08b974a,ar ARG,FW,Sevilla,26,1994,29.2,3,0,0,36,80,5,47,26,29,1,0,0,145,38,36,51.4
402,Álvaro Odriozola\1d1691ad,es ESP,DF,Real Madrid,24,1995,9.2,0,0,0,5,5,1,32,8,5,0,0,0,49,2,13,13.3
403,Shinji Okazaki\68796d61,jp JPN,FWMF,Huesca,34,1986,12.5,1,0,0,19,17,11,3,4,6,0,0,0,29,25,49,33.8
404,Lucas Olaza\4cee5954,uy URU,DF,Valladolid,26,1994,14.0,4,0,0,12,14,1,39,19,8,0,1,0,110,22,15,59.5
405,Lucas Olaza\4cee5954,uy URU,DF,Celta Vigo,26,1994,17.9,4,0,0,19,20,2,43,17,22,1,0,1,166,24,27,47.1
406,Christian Oliva\d3b888e3,uy URU,MF,Valencia,24,1996,2.2,0,0,0,3,3,0,0,5,2,0,0,0,17,1,1,50.0
407,Kiko Olivas\72b07a9c,es ESP,DFMF,Valladolid,31,1988,2.0,1,0,0,3,1,0,0,9,4,0,0,0,20,3,3,50.0
408,Paulo Oliveira\a8fbae1d,pt POR,DF,Eibar,28,1992,29.3,4,0,0,30,7,1,1,40,26,0,0,0,367,111,64,63.4
409,Mathías Olivera\41c12f75,uy URU,DF,Getafe,22,1997,29.0,6,0,0,28,26,2,51,35,41,0,1,0,301,74,68,52.1
410,Javier Ontiveros\a83d8b0c,es ESP,FWMF,Huesca,22,1997,10.2,5,0,0,29,36,0,20,12,19,0,0,0,83,5,14,26.3
411,Fabián Orellana\c90977db,cl CHI,MFFW,Valladolid,34,1986,23.8,5,0,0,28,60,5,55,15,20,0,0,0,166,12,53,18.5
412,Mikel Oyarzabal\8c3c640c,es ESP,FWMF,Real Sociedad,23,1997,26.8,1,0,0,26,42,18,56,18,18,1,0,0,169,19,44,30.2
413,Fernando Pacheco\97852360,es ESP,GK,Alavés,28,1992,37.2,1,0,0,0,4,0,0,0,0,0,0,0,156,0,0,
414,Jon Pacheco\44150beb,es ESP,DF,Real Sociedad,19,2001,0.4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0.0
415,Helibelton Palacios\ac8b2421,co COL,DF,Elche,27,1993,8.3,0,0,0,8,7,0,10,9,20,0,0,0,45,10,8,55.6
416,Ante Palaversa\cd9b37a3,hr CRO,MF,Getafe,20,2000,0.1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,
