Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
11,Sat,2020-12-12,15:00 (06:00),Crotone,2.2,4–1,1.2,Spezia,,Stadio Ezio Scida,Antonio Giua
11,Sat,2020-12-12,18:00 (09:00),Torino,1.0,2–3,1.2,Udinese,,Stadio Olimpico di Torino,Davide Massa
11,Sat,2020-12-12,20:45 (11:45),Lazio,1.0,1–2,1.2,Hellas Verona,,Stadio Olimpico,Rosario Abisso
11,Sun,2020-12-13,12:45 (03:45),Cagliari,1.6,1–3,3.5,Inter,,Sardegna Arena,Fabrizio Pasqua
11,Sun,2020-12-13,15:00 (06:00),Atalanta,2.6,3–0,0.4,Fiorentina,,Stadio Atleti Azzurri d'Italia,Maurizio Mariani
11,Sun,2020-12-13,15:00 (06:00),Bologna,0.7,1–5,3.4,Roma,,Stadio Renato Dall'Ara,Giampaolo Calvarese
11,Sun,2020-12-13,15:00 (06:00),Napoli,1.1,2–1,1.1,Sampdoria,,Stadio San Paolo,Federico La Penna
11,Sun,2020-12-13,18:00 (09:00),Genoa,0.2,1–3,2.6,Juventus,,Stadio Comunale Luigi Ferraris,Marco Di Bello
11,Sun,2020-12-13,20:45 (11:45),Milan,1.8,2–2,0.6,Parma,,Stadio Giuseppe Meazza,Francesco Fourneau
12,Tue,2020-12-15,18:30 (09:30),Udinese,1.1,0–0,0.2,Crotone,,Dacia Arena,Antonio Di Martino
12,Tue,2020-12-15,20:45 (11:45),Benevento,1.4,1–1,0.8,Lazio,,Stadio Ciro Vigorito,Luca Pairetto
12,Wed,2020-12-16,18:30 (09:30),Juventus,2.7,1–1,1.1,Atalanta,,Allianz Stadium,Daniele Doveri
12,Wed,2020-12-16,20:45 (11:45),Fiorentina,2.0,1–1,1.1,Sassuolo,,Stadio Artemio Franchi,Paolo Valeri
12,Wed,2020-12-16,20:45 (11:45),Genoa,1.2,2–2,1.5,Milan,,Stadio Comunale Luigi Ferraris,Daniele Orsato
12,Wed,2020-12-16,20:45 (11:45),Spezia,3.7,2–2,2.0,Bologna,,Stadio Dino Manuzzi,Piero Giacomelli
12,Wed,2020-12-16,20:45 (11:45),Inter,1.1,1–0,1.7,Napoli,,Stadio Giuseppe Meazza,Davide Massa
12,Wed,2020-12-16,20:45 (11:45),Hellas Verona,1.4,1–2,0.7,Sampdoria,,Stadio Marc'Antonio Bentegodi,Riccardo Ros
12,Wed,2020-12-16,20:45 (11:45),Parma,1.0,0–0,0.3,Cagliari,,Stadio Ennio Tardini,Ivan Pezzuto
12,Thu,2020-12-17,20:45 (11:45),Roma,2.6,3–1,1.5,Torino,,Stadio Olimpico,Rosario Abisso
13,Sat,2020-12-19,15:00 (06:00),Fiorentina,1.2,1–1,1.1,Hellas Verona,,Stadio Artemio Franchi,Francesco Fourneau
13,Sat,2020-12-19,18:00 (09:00),Sampdoria,1.9,3–1,0.9,Crotone,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello
13,Sat,2020-12-19,20:45 (11:45),Parma,0.7,0–4,2.5,Juventus,,Stadio Ennio Tardini,Giampaolo Calvarese
13,Sun,2020-12-20,12:30 (03:30),Torino,0.9,1–1,1.6,Bologna,,Stadio Olimpico di Torino,Fabrizio Pasqua
13,Sun,2020-12-20,15:00 (06:00),Inter,1.8,2–1,0.8,Spezia,,Stadio Giuseppe Meazza,Michael Fabbri
13,Sun,2020-12-20,15:00 (06:00),Benevento,1.6,2–0,0.3,Genoa,,Stadio Ciro Vigorito,Antonio Giua
13,Sun,2020-12-20,15:00 (06:00),Cagliari,0.5,1–1,1.4,Udinese,,Sardegna Arena,Marco Piccinini
13,Sun,2020-12-20,15:00 (06:00),Sassuolo,0.9,1–2,1.5,Milan,,Stadio Città del Tricolore,Maurizio Mariani
13,Sun,2020-12-20,18:00 (09:00),Atalanta,2.0,4–1,0.8,Roma,,Stadio Atleti Azzurri d'Italia,Marco Di Bello
13,Sun,2020-12-20,20:45 (11:45),Lazio,0.8,2–0,0.9,Napoli,,Stadio Olimpico,Daniele Orsato
14,Tue,2020-12-22,18:30 (09:30),Crotone,0.8,2–1,1.2,Parma,,Stadio Ezio Scida,Fabio Maresca
14,Tue,2020-12-22,20:45 (11:45),Juventus,0.4,0–3,1.0,Fiorentina,,Allianz Stadium,Federico La Penna
14,Wed,2020-12-23,18:30 (09:30),Hellas Verona,0.7,1–2,2.1,Inter,,Stadio Marc'Antonio Bentegodi,Piero Giacomelli
14,Wed,2020-12-23,20:45 (11:45),Udinese,1.7,0–2,0.4,Benevento,,Dacia Arena,Manuel Volpi
14,Wed,2020-12-23,20:45 (11:45),Sampdoria,1.7,2–3,2.1,Sassuolo,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi
14,Wed,2020-12-23,20:45 (11:45),Napoli,0.9,1–1,0.5,Torino,,Stadio San Paolo,Paolo Valeri
14,Wed,2020-12-23,20:45 (11:45),Roma,3.2,3–2,1.7,Cagliari,,Stadio Olimpico,Luca Pairetto
14,Wed,2020-12-23,20:45 (11:45),Bologna,1.0,2–2,1.5,Atalanta,,Stadio Renato Dall'Ara,Daniele Chiffi
14,Wed,2020-12-23,20:45 (11:45),Milan,1.9,3–2,1.8,Lazio,,Stadio Giuseppe Meazza,Marco Di Bello
14,Wed,2020-12-23,20:45 (11:45),Spezia,0.7,1–2,1.6,Genoa,,Stadio Dino Manuzzi,Davide Massa
15,Sun,2021-01-03,12:30 (03:30),Inter,2.5,6–2,1.6,Crotone,,Stadio Giuseppe Meazza,Gianluca Aureliano
15,Sun,2021-01-03,15:00 (06:00),Fiorentina,0.3,0–0,0.7,Bologna,,Stadio Artemio Franchi,Daniele Orsato
15,Sun,2021-01-03,15:00 (06:00),Parma,1.0,0–3,1.6,Torino,,Stadio Ennio Tardini,Daniele Doveri
15,Sun,2021-01-03,15:00 (06:00),Atalanta,2.7,5–1,0.7,Sassuolo,,Stadio Atleti Azzurri d'Italia,Fabio Maresca
15,Sun,2021-01-03,15:00 (06:00),Genoa,0.9,1–1,1.4,Lazio,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
15,Sun,2021-01-03,15:00 (06:00),Roma,2.1,1–0,0.4,Sampdoria,,Stadio Olimpico,Daniele Chiffi
15,Sun,2021-01-03,15:00 (06:00),Cagliari,1.0,1–4,3.8,Napoli,,Sardegna Arena,Gianluca Manganiello
15,Sun,2021-01-03,15:00 (06:00),Spezia,0.8,0–1,1.7,Hellas Verona,,Stadio Dino Manuzzi,Luca Pairetto
15,Sun,2021-01-03,18:00 (09:00),Benevento,2.5,0–2,1.5,Milan,,Stadio Ciro Vigorito,Fabrizio Pasqua
15,Sun,2021-01-03,20:45 (11:45),Juventus,2.8,4–1,1.7,Udinese,,Allianz Stadium,Piero Giacomelli
16,Wed,2021-01-06,12:30 (03:30),Cagliari,0.9,1–2,1.2,Benevento,,Sardegna Arena,Eugenio Abbattista
16,Wed,2021-01-06,15:00 (06:00),Bologna,1.0,2–2,1.6,Udinese,,Stadio Renato Dall'Ara,Giovanni Ayroldi
16,Wed,2021-01-06,15:00 (06:00),Lazio,1.2,2–1,1.6,Fiorentina,,Stadio Olimpico,Rosario Abisso
16,Wed,2021-01-06,15:00 (06:00),Sampdoria,1.2,2–1,2.5,Inter,,Stadio Comunale Luigi Ferraris,Paolo Valeri
16,Wed,2021-01-06,15:00 (06:00),Atalanta,1.7,3–0,0.0,Parma,,Stadio Atleti Azzurri d'Italia,Juan Sacchi
16,Wed,2021-01-06,15:00 (06:00),Sassuolo,1.6,2–1,1.1,Genoa,,Stadio Città del Tricolore,Michael Fabbri
16,Wed,2021-01-06,15:00 (06:00),Torino,1.4,1–1,0.4,Hellas Verona,,Stadio Olimpico di Torino,Marco Di Bello
16,Wed,2021-01-06,15:00 (06:00),Crotone,0.8,1–3,2.2,Roma,,Stadio Ezio Scida,Marco Piccinini
16,Wed,2021-01-06,18:00 (09:00),Napoli,3.6,1–2,2.0,Spezia,,Stadio San Paolo,Maurizio Mariani
16,Wed,2021-01-06,20:45 (11:45),Milan,1.3,1–3,1.7,Juventus,,Stadio Giuseppe Meazza,Massimiliano Irrati
17,Sat,2021-01-09,15:00 (06:00),Benevento,0.9,1–4,4.3,Atalanta,,Stadio Ciro Vigorito,Gianluca Manganiello
