Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
132,Danilo\94b2001f,br BRA,DF,Juventus,29,1991,32.4,6,0,0,30,24,2,28,44,37,0,1,0,268,34,18,65.4
133,Andrea Danzi\263b855a,it ITA,MFDF,Hellas Verona,21,1999,1.2,1,0,0,1,0,0,0,1,0,0,0,0,12,2,0,100.0
134,Ebrima Darboe\cf043a33,gm GAM,MF,Roma,19,2001,3.6,2,0,0,6,4,0,0,13,4,0,0,0,42,2,4,33.3
135,Matteo Darmian\96e0490d,it ITA,DF,Parma,30,1989,2.3,1,0,0,3,3,0,0,3,3,0,0,0,11,2,2,50.0
136,Matteo Darmian\96e0490d,it ITA,DF,Inter,30,1989,12.9,4,0,0,18,19,2,28,16,13,1,1,0,74,18,11,62.1
137,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,25,1995,20.7,9,0,0,43,12,2,5,26,30,0,0,0,232,54,42,56.3
138,Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,33,1987,9.5,1,0,0,12,7,3,1,13,13,0,0,0,104,24,19,55.8
139,Rodrigo De Paul\162efffd,ar ARG,MF,Udinese,26,1994,35.6,5,2,1,40,131,1,114,19,29,0,1,0,267,6,13,31.6
140,Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,27,1992,0.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
141,Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,32,1988,23.8,4,0,0,42,15,1,35,28,17,0,0,0,182,51,35,59.3
142,Grégoire Defrel\854ee61a,mq MTQ,FWMF,Sassuolo,29,1991,14.8,1,0,0,15,20,5,7,8,12,0,0,0,79,8,27,22.9
143,Alessandro Deiola\7f267d66,it ITA,MF,Spezia,24,1995,4.0,1,0,0,7,5,0,3,2,6,0,0,0,34,3,6,33.3
144,Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,24,1995,6.8,2,0,0,14,6,0,4,15,7,0,0,0,61,9,2,81.8
145,Lorenzo Del Pinto\081b6080,it ITA,MF,Benevento,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
146,Cristian Dell'Orco\b0243215,it ITA,DF,Spezia,26,1994,2.9,0,0,0,2,2,0,0,4,1,0,0,0,37,5,4,55.6
147,Merih Demiral\e3cceee6,tr TUR,DF,Juventus,22,1998,10.4,1,0,0,13,2,2,0,12,11,0,1,0,82,25,8,75.8
148,Diego Demme\dc3fa3b5,de GER,MF,Napoli,28,1991,17.7,6,0,0,40,32,1,8,17,37,0,0,0,168,7,16,30.4
149,Stefano Denswil\5832ebfe,nl NED,DF,Bologna,27,1993,1.3,0,0,0,0,2,0,0,1,2,0,0,0,11,3,1,75.0
150,Fabio Depaoli\d97f2e8d,it ITA,DF,Atalanta,23,1997,2.1,0,0,0,6,2,0,1,1,1,0,0,0,9,3,2,60.0
151,Fabio Depaoli\d97f2e8d,it ITA,MF,Sampdoria,23,1997,0.9,0,0,0,5,2,2,1,0,0,0,0,0,5,0,4,0.0
152,Fabio Depaoli\d97f2e8d,it ITA,DF,Benevento,23,1997,12.4,2,0,0,24,8,1,19,16,15,0,0,1,69,15,9,62.5
153,Kastriot Dermaku\2990c466,al ALB,DF,Parma,28,1992,1.1,0,0,0,2,1,0,0,1,0,0,0,0,7,0,1,0.0
154,Kiril Despodov\13c8e5f6,bg BUL,FW,Cagliari,23,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
155,Mattia Destro\d7d32194,it ITA,FW,Genoa,29,1991,17.8,5,0,0,41,39,23,4,2,7,0,0,0,62,32,77,29.4
156,Gerard Deulofeu\39583cfd,es ESP,FWMF,Udinese,26,1994,6.6,0,0,0,10,7,11,14,3,2,1,0,0,32,0,11,0.0
157,Jacopo Dezi\e921b9db,it ITA,FWMF,Parma,28,1992,0.9,0,0,0,2,2,0,3,1,1,0,0,0,5,0,2,0.0
158,Samuel Di Carmine\ef94dc2f,it ITA,FW,Hellas Verona,31,1988,5.6,1,0,0,19,21,6,5,0,0,0,0,0,21,30,28,51.7
159,Samuel Di Carmine\ef94dc2f,it ITA,FW,Crotone,31,1988,5.3,1,0,0,6,13,0,3,1,2,1,0,0,11,12,16,42.9
160,Giovanni Di Lorenzo\230a2fac,it ITA,DF,Napoli,26,1993,36.0,11,0,0,57,64,3,58,40,57,1,1,0,216,57,44,56.4
161,Alessandro Di Pardo\e0ce7038,it ITA,MFDF,Juventus,21,1999,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
162,Giuseppe Di Serio\5048486b,it ITA,FWMF,Benevento,19,2001,3.2,1,0,0,14,16,2,2,1,2,0,0,0,17,11,12,47.8
163,Amad Diallo\9dc96f10,ci CIV,MF,Atalanta,18,2002,0.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0
164,Amadou Diambo\c3a847c7,gh GHA,FW,Benevento,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
165,Amadou Diawara\bf309d24,gn GUI,MF,Roma,23,1997,7.3,4,1,1,20,5,0,0,9,12,0,0,0,80,3,3,50.0
166,Brahim Díaz\407feb71,es ESP,MFFW,Milan,20,1999,13.6,2,0,0,14,36,1,8,6,20,1,0,0,87,6,30,16.7
167,Daan Dierckx\3a35db3d,be BEL,DF,Parma,17,2003,5.2,1,0,0,5,1,1,0,11,5,0,0,0,19,3,11,21.4
168,Mitchell Dijks\0a3065c8,nl NED,DF,Bologna,27,1993,16.5,7,1,1,30,16,1,33,20,17,0,1,0,112,12,17,41.4
169,Federico Dimarco\970b8574,it ITA,DF,Hellas Verona,22,1997,29.0,6,0,0,36,50,6,103,42,25,0,1,0,246,13,30,30.2
170,Koffi Djidji\933d3b51,ci CIV,DF,Crotone,27,1992,16.9,4,0,0,22,2,1,3,28,22,0,0,0,114,34,24,58.6
171,Berat Djimsiti\6eee05f1,al ALB,DF,Atalanta,27,1993,29.2,8,0,0,28,32,1,9,48,26,0,0,0,321,78,30,72.2
172,Nicolás Domínguez\20b3a502,ar ARG,MF,Bologna,22,1998,13.9,8,0,0,24,19,1,11,25,35,0,1,0,167,24,24,50.0
173,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Milan,21,1999,37.0,1,0,0,0,3,0,0,0,0,0,0,0,147,0,0,
174,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,22,1997,35.0,0,1,0,1,5,0,0,0,0,0,1,0,172,0,0,
175,Denis Drăguș\0e490f6e,ro ROU,FWMF,Crotone,21,1999,2.0,1,0,0,4,4,2,3,1,3,0,0,0,14,1,3,25.0
176,Radu Drăgușin\620922ed,ro ROU,DF,Juventus,18,2002,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
177,Léo Duarte\73ddc40c,br BRA,DF,Milan,24,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
178,Alfred Duncan\528492ea,gh GHA,MF,Fiorentina,27,1993,1.8,0,0,0,4,2,0,1,3,1,0,0,0,16,2,5,28.6
179,Alfred Duncan\528492ea,gh GHA,MF,Cagliari,27,1993,11.9,2,0,0,20,13,0,9,16,15,0,0,0,131,12,14,46.2
180,Paulo Dybala\e0921a4f,ar ARG,FW,Juventus,26,1993,12.6,0,0,0,13,34,4,24,3,11,0,0,0,58,1,11,8.3
181,Edin Džeko\3bb7f478,ba BIH,FW,Roma,34,1986,20.3,2,0,0,26,39,10,17,4,7,1,0,0,81,92,54,63.0
182,Steeve-Mike Ebongue\9d5ab351,fr FRA,MF,Genoa,19,2001,0.6,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,
183,Simone Edera\8697c095,it ITA,DFMF,Torino,23,1997,0.6,0,0,0,2,1,0,2,0,0,0,0,0,5,0,0,
184,Albin Ekdal\f503ea63,se SWE,MF,Sampdoria,31,1989,25.5,9,0,0,57,64,0,3,34,49,0,1,0,309,38,29,56.7
185,Elif Elmas\cf007308,mk MKD,MFFW,Napoli,20,1999,8.2,3,0,0,9,9,1,4,5,9,0,0,0,48,1,7,12.5
186,Manu Emmanuel Gyabuaa\a69eb5fd,it ITA,MF,Atalanta,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,Alan Empereur\825b8997,br BRA,DF,Hellas Verona,26,1994,2.4,1,0,0,4,1,0,0,5,1,0,0,0,24,3,5,37.5
188,Christian Eriksen\980522ec,dk DEN,MF,Inter,28,1992,15.4,1,0,0,14,8,1,26,10,8,0,1,0,128,12,5,70.6
189,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,22,1998,20.0,6,0,0,40,11,0,1,30,18,0,0,0,216,50,36,58.1
190,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Lazio,27,1993,8.1,5,0,0,16,10,0,0,9,19,0,0,0,118,16,18,47.1
191,Nahuel Estévez\cec60a2f,ar ARG,MF,Spezia,24,1995,19.6,7,0,0,36,27,0,51,32,13,0,0,0,160,15,23,39.5
192,Valentin Eysseric\ae82fa48,fr FRA,MFFW,Fiorentina,28,1992,8.1,2,0,0,14,14,0,18,9,10,0,0,0,61,8,10,44.4
193,Nicolò Fagioli\366be751,it ITA,MF,Juventus,19,2001,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0
194,Iago Falque\440c84ed,es ESP,MFFW,Benevento,30,1990,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1
195,Andri Fannar Baldursson\61f2f56a,is ISL,MF,Bologna,18,2002,2.4,2,0,0,9,4,1,0,1,3,0,0,0,19,5,5,50.0
196,Paolo Faragò\9085dd7c,it ITA,DFMF,Cagliari,27,1993,4.1,2,0,0,9,4,0,7,9,3,0,0,0,30,7,4,63.6
197,Paolo Faragò\9085dd7c,it ITA,DF,Bologna,27,1993,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
198,Davide Faraoni\aae9d04a,it ITA,DF,Hellas Verona,28,1991,32.1,8,0,0,48,44,10,50,56,37,0,0,0,281,53,37,58.9
199,Mohamed Fares\b7a5bc86,dz ALG,DF,Lazio,24,1996,12.7,5,0,0,30,9,2,47,13,9,0,1,0,97,12,13,48.0
200,Diego Farias\157d29b6,br BRA,FW,Spezia,30,1990,16.8,5,0,0,19,19,2,25,13,8,0,0,0,71,8,9,47.1
201,Andrea Favilli\44510fde,it ITA,FW,Hellas Verona,23,1997,3.8,1,0,0,14,11,9,0,0,3,0,0,0,13,11,29,27.5
202,Federico Fazio\4e358a2d,ar ARG,DF,Roma,33,1987,4.5,2,0,0,6,3,0,2,5,4,0,1,0,44,20,8,71.4
203,Luiz Felipe\15d0c248,br BRA,DF,Lazio,23,1997,10.1,5,0,0,18,10,1,1,21,26,0,0,0,85,13,16,44.8
204,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,26,1994,9.8,3,0,0,11,13,0,4,17,23,0,0,0,84,17,8,68.0
205,Salvador Ferrer\eb76987d,es ESP,DF,Spezia,22,1998,13.2,4,0,0,18,8,0,46,20,10,0,1,0,130,22,16,57.9
206,Marco Festa\c195ae4a,it ITA,GK,Crotone,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
207,Fernando Forestieri\d60c26fc,it ITA,FWMF,Udinese,30,1990,6.1,1,0,0,12,22,5,9,1,9,0,0,0,45,6,14,30.0
208,Daam Foulon\658d44be,be BEL,DF,Benevento,21,1999,11.3,4,0,0,18,23,0,20,7,8,0,0,1,61,12,5,70.6
209,Gianluca Frabotta\d80b1835,it ITA,DF,Juventus,21,1999,7.7,5,0,0,12,4,0,31,12,6,0,0,0,64,13,15,46.4
210,Remo Freuler\98d2c2c4,ch SUI,MF,Atalanta,28,1992,30.1,5,0,0,50,33,1,18,50,56,0,0,0,383,27,29,48.2
211,Daniel Fuzato\82328faf,br BRA,GK,Roma,23,1997,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,
212,Matteo Gabbia\c235e803,it ITA,DF,Milan,20,1999,6.2,2,0,0,7,5,0,0,5,4,0,0,0,66,22,8,73.3
213,Manolo Gabbiadini\8f866fe8,it ITA,FW,Sampdoria,28,1991,9.7,1,0,0,13,20,4,6,3,3,0,0,0,40,10,25,28.6
214,Roberto Gagliardini\ce30bfc8,it ITA,MF,Inter,26,1994,13.7,2,0,0,26,17,0,13,15,17,0,0,0,80,24,15,61.5
215,Riccardo Gagliolo\173061c0,se SWE,DF,Parma,30,1990,21.7,6,0,0,31,36,0,39,30,29,0,0,0,174,27,28,49.1
216,Adolfo Gaich\8dfed6e9,ar ARG,FW,Benevento,21,1999,8.5,1,0,0,30,19,3,3,5,3,0,1,0,28,15,52,22.4
217,Andrey Galabinov\0a1efd3c,bg BUL,FW,Spezia,31,1988,4.8,0,0,0,6,5,3,1,0,1,0,0,0,17,9,24,27.3
218,Manuel Gasparini\7033ca08,it ITA,GK,Udinese,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
219,Gervinho\e468c053,ci CIV,FW,Parma,33,1987,22.5,0,0,0,8,13,20,20,13,4,0,0,0,93,0,7,0.0
220,Paolo Ghiglione\71dc23da,it ITA,DFMF,Genoa,23,1997,15.1,4,0,0,18,17,3,55,16,15,0,0,0,90,17,19,47.2
221,Faouzi Ghoulam\c5adc293,dz ALG,DFFW,Napoli,29,1991,3.2,1,0,0,2,9,1,19,2,1,0,0,0,26,7,2,77.8
222,Kamil Glik\c6056d58,pl POL,DF,Benevento,32,1988,35.6,10,1,1,37,21,0,1,39,34,0,0,1,248,91,49,65.0
223,Diego Godín\fc4f85b1,uy URU,DF,Cagliari,34,1986,27.9,3,0,0,33,30,2,6,44,33,0,0,0,265,83,40,67.5
224,Amer Gojak\51ffa295,ba BIH,MFFW,Torino,23,1997,5.3,1,0,0,12,10,3,15,4,4,0,0,0,33,3,13,18.8
225,Edoardo Goldaniga\4b029b31,it ITA,DF,Genoa,26,1993,20.6,8,0,0,32,25,1,25,29,21,0,0,0,137,32,33,49.2
226,Vladimir Golemić\1db295e5,si SVN,DF,Crotone,29,1991,26.0,4,1,0,32,10,0,4,27,18,0,2,0,212,56,43,56.6
227,Pierluigi Gollini\f0f7f62f,it ITA,GK,Atalanta,25,1995,24.0,0,1,0,0,4,0,0,1,0,0,0,0,105,0,0,
228,Tomislav Gomelt\a5055b1b,hr CRO,MF,Crotone,25,1995,0.2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,
229,Papu Gómez\6e4df551,ar ARG,FWMF,Atalanta,32,1988,7.4,0,0,0,10,23,0,6,3,4,0,0,0,64,2,3,40.0
230,Robin Gosens\2d970560,de GER,DF,Atalanta,26,1994,28.0,9,1,1,58,29,9,58,43,28,0,2,1,213,35,21,62.5
231,Alberto Grassi\6cc97b6a,it ITA,MFDF,Parma,25,1995,13.1,3,0,0,22,31,1,7,22,13,0,0,1,105,14,14,50.0
232,Koray Günter\f1f1f238,de GER,DF,Hellas Verona,25,1994,19.6,4,0,0,36,13,0,2,48,17,0,1,0,263,94,55,63.1
233,Emmanuel Gyasi\f9758dae,gh GHA,FW,Spezia,26,1994,31.7,4,0,0,67,50,28,43,23,20,1,0,0,156,27,61,30.7
234,Achraf Hakimi\e42d61c7,ma MAR,DF,Inter,21,1998,29.6,6,0,0,34,42,8,105,25,29,2,0,0,165,13,28,31.7
235,Samir Handanović\74419746,si SVN,GK,Inter,36,1984,36.0,1,0,0,0,5,0,0,0,0,0,0,1,106,0,0,
236,Lukáš Haraslín\5c397195,sk SVK,FWMF,Sassuolo,24,1996,3.7,1,1,0,8,19,1,9,2,5,1,1,0,19,4,2,66.7
237,Hans Hateboer\3b333ac3,nl NED,DF,Atalanta,26,1994,19.6,3,0,0,25,11,3,24,14,15,0,1,0,116,28,19,59.6
238,Eduardo Henrique\1bd5fc78,br BRA,MF,Crotone,25,1995,10.3,4,0,0,20,17,1,1,10,2,0,0,0,83,12,18,40.0
239,Theo Hernández\d4c9725f,fr FRA,DF,Milan,22,1997,32.6,9,0,0,46,93,6,48,45,43,2,0,0,275,53,27,66.3
240,Hernani\6f5ead86,br BRA,MF,Parma,26,1994,24.3,11,0,0,62,27,1,41,20,26,0,0,0,188,36,25,59.0
241,Përparim Hetemaj\90b70194,fi FIN,MF,Benevento,33,1986,24.6,5,0,0,46,84,1,35,32,37,0,0,0,214,17,39,30.4
242,Aaron Hickey\1780bb4a,sct SCO,DF,Bologna,18,2002,8.4,3,1,0,12,15,0,6,12,6,0,0,0,79,3,4,42.9
243,Wesley Hoedt\875898c7,nl NED,DF,Lazio,26,1994,10.6,6,0,0,11,2,0,0,12,14,0,2,0,109,19,9,67.9
244,Elseid Hysaj\2f3452eb,al ALB,DF,Napoli,26,1994,19.6,2,0,0,18,22,0,9,35,18,0,1,0,156,18,18,50.0
245,Simone Iacoponi\63071a3f,it ITA,DF,Parma,33,1987,13.3,3,1,0,18,15,2,7,7,16,0,0,2,103,11,9,55.0
246,Roger Ibanez\82efe6fa,br BRA,DF,Roma,21,1998,26.6,7,1,1,58,34,0,3,60,50,0,1,1,274,63,32,66.3
247,Zlatan Ibrahimović\4cde5509,se SWE,FW,Milan,38,1981,16.6,2,1,0,36,27,40,12,7,5,2,0,0,63,74,45,62.2
248,Igor\a4e85758,br BRA,DF,Fiorentina,22,1998,13.0,5,0,0,19,8,1,2,28,11,0,1,0,100,17,16,51.5
249,Ivan Ilić\bb376bed,rs SRB,MF,Hellas Verona,19,2001,20.4,2,0,0,26,30,0,15,31,14,0,0,0,247,32,29,52.5
250,Josip Iličić\68252d6d,si SVN,FWMF,Atalanta,32,1988,17.0,2,0,0,24,75,8,63,6,4,2,0,0,96,1,23,4.2
251,Ciro Immobile\4431aed2,it ITA,FW,Lazio,30,1990,31.7,4,1,0,41,46,30,20,5,9,3,0,0,151,26,56,31.7
252,Riccardo Improta\f6dfa5b8,it ITA,MFDF,Benevento,26,1993,25.9,7,0,0,28,64,2,62,33,23,0,0,1,161,51,48,51.5
253,Roberto Inglese\6c1f7328,it ITA,FW,Parma,28,1991,6.4,2,0,0,16,14,8,3,1,4,0,0,0,23,11,16,40.7
254,Lorenzo Insigne\2f557579,it ITA,FW,Napoli,29,1991,31.8,2,1,0,10,42,11,64,49,12,0,0,0,214,4,4,50.0
255,Roberto Insigne\8faf7b3c,it ITA,MFFW,Benevento,26,1994,17.8,2,0,0,16,19,3,26,7,7,0,0,0,107,7,22,24.1
256,Artur Ioniță\cedb3e36,md MDA,MF,Benevento,29,1990,31.5,6,0,0,66,28,1,17,35,35,2,0,0,240,71,89,44.4
257,Ardian Ismajli\6b635f5c,al ALB,DF,Spezia,23,1996,14.4,3,1,1,19,15,0,1,24,12,0,0,0,125,48,29,62.3
258,Armando Izzo\89976232,it ITA,DF,Torino,28,1992,22.3,3,0,0,52,37,2,13,53,24,0,1,0,195,69,37,65.1
259,Mato Jajalo\8c65eb5f,ba BIH,MF,Udinese,32,1988,0.4,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,
260,Jakub Jankto\1ea5f91c,cz CZE,MF,Sampdoria,24,1996,26.8,6,0,0,24,32,7,55,19,10,0,1,0,188,8,24,25.0
261,Juan Jesus\79083382,br BRA,DF,Roma,29,1991,1.7,0,0,0,4,0,0,0,0,2,0,0,0,12,3,3,50.0
