Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
63,Nassim Boujellab\541127d5,ma MAR,MFFW,Schalke 04,21,1999,6.7,2,0,0,17,16,0,1,6,13,0,0,0,65,13,26,33.3
64,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,29,1990,17.2,3,0,0,8,4,0,1,17,8,0,1,0,156,37,25,59.7
65,Can Bozdogan\b797f558,de GER,MF,Schalke 04,19,2001,7.2,0,0,0,11,17,0,12,5,19,0,0,1,58,3,15,16.7
66,Julian Brandt\a167537f,de GER,FWMF,Dortmund,24,1996,16.6,0,0,0,7,17,2,25,14,17,0,0,0,128,6,26,18.8
67,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,25,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
68,Josip Brekalo\d4a2533d,hr CRO,FW,Wolfsburg,22,1998,20.2,1,0,0,11,16,2,29,18,16,0,0,0,136,6,23,20.7
69,Joshua Brenet\2b5527c4,nl NED,DF,Hoffenheim,26,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
70,John Brooks\e27da244,us USA,DF,Wolfsburg,27,1993,30.8,5,0,0,35,19,0,2,51,37,0,2,1,352,108,47,69.7
71,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,32,1988,15.9,0,0,0,8,4,0,58,13,7,0,0,0,127,10,20,33.3
72,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,26,1994,29.5,6,0,0,37,33,1,53,30,29,0,0,0,301,61,33,64.9
73,Jacob Bruun Larsen\4e204552,dk DEN,FW,Hoffenheim,21,1998,1.0,0,0,0,2,0,2,1,0,0,0,0,0,4,1,3,25.0
74,Marius Bülter\ab5b7dc1,de GER,FWMF,Union Berlin,27,1993,10.9,1,0,0,11,15,3,26,7,9,0,0,0,90,15,22,40.5
75,Jonathan Burkardt\05f99a4a,de GER,FWDF,Mainz 05,20,2000,15.3,0,0,0,27,47,2,12,5,15,1,0,0,119,21,58,26.6
76,Nishan Burkart\c59b67ed,ch SUI,MF,Freiburg,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
77,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,29,1990,18.5,0,0,0,0,3,0,0,0,0,0,0,0,78,0,1,0.0
78,Kerim Calhanoglu\d1db4b83,de GER,DF,Schalke 04,17,2002,3.3,0,0,0,2,1,0,6,6,2,0,0,0,31,2,4,33.3
79,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,32,1988,29.6,5,0,0,39,66,4,41,42,47,0,0,0,241,36,51,41.4
80,Emre Can\a65ce836,de GER,DFMF,Dortmund,26,1994,23.7,5,0,0,36,22,1,12,40,42,0,2,0,261,51,20,71.8
81,Koen Casteels\db401046,be BEL,GK,Wolfsburg,28,1992,32.0,0,0,0,1,3,0,0,0,0,0,1,0,164,0,0,
82,Gonzalo Castro\68829001,de GER,MFFW,Stuttgart,33,1987,19.2,9,0,0,20,18,1,27,10,11,0,0,0,162,13,19,40.6
83,Sava Cestic\0b7dae21,rs SRB,DF,Köln,19,2001,10.0,3,0,0,17,3,0,0,29,14,0,1,0,74,19,10,65.5
84,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,30,1990,4.8,2,0,0,6,1,4,19,2,1,0,0,0,35,9,6,60.0
85,Kwon Chang-hoon\7961f7aa,kr KOR,MFFW,Freiburg,26,1994,2.4,2,0,0,4,8,1,4,5,2,0,0,0,12,5,5,50.0
86,Tahith Chong\2696b6a9,nl NED,FWMF,Werder Bremen,20,1999,4.3,1,0,0,16,17,0,7,3,8,0,1,0,49,1,9,10.0
87,Darko Churlinov\c6608135,mk MKD,DFFW,Stuttgart,20,2000,2.4,0,0,0,3,3,2,5,1,1,0,0,0,21,2,6,25.0
88,Tim Civeja\59a48c59,de GER,MFDF,Augsburg,18,2002,0.4,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,
89,Kingsley Coman\042e8a49,fr FRA,FWMF,Bayern Munich,24,1996,19.5,1,0,0,13,41,7,77,12,12,1,0,0,131,13,24,35.1
90,Jhon Córdoba\9f381d8b,co COL,FW,Hertha BSC,27,1993,17.1,3,0,0,40,51,16,10,9,4,2,1,0,62,38,69,35.5
91,Sergio Córdova\229cd98a,ve VEN,FWMF,Arminia,22,1997,12.1,0,0,0,18,24,9,8,6,11,0,0,0,80,34,49,41.0
92,Danny da Costa\5ddb8f9f,de GER,DF,Mainz 05,27,1993,13.4,2,0,0,6,4,1,35,22,10,0,0,0,104,15,7,68.2
93,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,27,1993,1.2,0,0,0,2,0,0,3,0,2,0,0,0,10,1,2,33.3
94,Douglas Costa\4fa7cb9b,br BRA,FWMF,Bayern Munich,29,1990,3.6,0,0,0,7,4,3,12,3,2,0,0,0,25,2,5,28.6
95,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,19,2001,16.7,2,0,0,35,23,11,29,7,20,0,0,0,102,13,36,26.5
96,Mickaël Cuisance\5722eced,fr FRA,FW,Bayern Munich,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
97,Matheus Cunha\dc62b55d,br BRA,FWMF,Hertha BSC,21,1999,23.9,9,0,0,50,82,5,58,35,30,1,1,0,185,15,28,34.9
98,Rafael Czichos\b0a0698b,de GER,DF,Köln,30,1990,25.1,7,0,0,29,18,2,3,38,37,0,1,0,257,78,53,59.5
99,Moanes Dabbur\eac044ad,il ISR,FW,Hoffenheim,28,1992,11.1,2,0,0,21,26,5,8,6,8,0,0,0,76,22,23,48.9
100,Finn Dahmen\dee3013b,de GER,GK,Mainz 05,22,1998,3.0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,
101,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,24,1996,14.0,2,0,0,29,19,0,7,21,24,0,1,0,170,14,12,53.8
102,Leon Dajaku\aeaf1bc1,de GER,FW,Union Berlin,19,2001,0.4,0,0,0,0,1,2,0,0,1,0,0,0,5,1,1,50.0
103,Tiago Dantas\234204f4,pt POR,MF,Bayern Munich,19,2000,0.8,0,0,0,0,1,0,1,1,0,0,0,0,7,0,1,0.0
104,Márton Dárdai\41bff4fa,de GER,DFMF,Hertha BSC,18,2002,9.1,0,0,0,12,4,0,8,15,11,0,0,0,64,12,14,46.2
105,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,29,1990,21.1,5,1,0,34,30,2,45,32,24,0,0,0,206,21,32,39.6
106,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,19,2000,19.6,2,1,0,13,42,3,28,46,38,1,0,0,242,19,21,47.5
107,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,28,1991,14.3,6,0,0,41,30,1,9,24,37,0,0,0,160,30,14,68.2
108,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,27,1993,19.4,2,0,0,45,27,0,30,13,35,0,0,0,197,15,24,38.5
109,Ermedin Demirović\ed79b7d3,ba BIH,FW,Freiburg,22,1998,16.6,7,0,0,51,21,10,11,5,13,1,0,0,68,45,96,31.9
110,Emmanuel Dennis\2c44a35d,ng NGA,FW,Köln,22,1997,5.3,0,0,0,16,5,7,9,3,7,0,0,0,27,9,18,33.3
111,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,27,1992,15.1,3,0,0,13,7,0,0,8,7,0,2,0,154,55,36,60.4
112,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,21,1999,26.5,5,0,0,28,19,10,102,19,7,0,0,0,143,5,18,21.7
113,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,30,1990,10.8,2,0,0,15,17,4,19,6,7,0,0,0,63,9,11,45.0
114,Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Hertha BSC,22,1998,5.9,0,0,0,8,10,1,9,6,5,0,0,0,30,1,7,12.5
115,Eren Dinkçi\4ccd8957,de GER,FWMF,Werder Bremen,18,2001,1.2,0,1,0,1,0,1,1,3,0,0,0,0,10,3,3,50.0
116,Ritsu Doan\d01bbb6f,jp JPN,MFFW,Arminia,22,1998,30.8,1,0,0,39,69,5,64,26,45,1,0,0,199,32,60,34.8
117,Ji Dong-won\7d841904,kr KOR,FWDF,Mainz 05,29,1991,0.7,1,0,0,4,1,0,0,0,0,0,0,0,10,5,4,55.6
118,Bas Dost\dc90cfbe,nl NED,FW,Eint Frankfurt,31,1989,9.1,3,0,0,17,9,3,4,2,4,0,0,0,34,70,32,68.6
119,Aleksandar Dragović\6fd8a334,at AUT,DF,Leverkusen,29,1991,12.6,3,0,0,13,6,0,5,15,10,0,0,0,168,27,15,64.3
120,Dominick Drexler\809940aa,de GER,MFFW,Köln,30,1990,13.7,1,0,0,24,24,6,37,18,23,0,0,0,95,15,21,41.7
121,Ondrej Duda\79ca3e23,sk SVK,FWMF,Köln,25,1994,28.2,8,1,1,63,61,5,51,19,29,0,0,0,208,41,78,34.5
122,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,28,1992,16.4,1,0,0,11,14,1,38,23,16,0,0,0,130,22,23,48.9
123,Johannes Eggestein\d571df78,de GER,FWMF,Werder Bremen,22,1998,0.4,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0
124,Maximilian Eggestein\beb882a8,de GER,MF,Werder Bremen,23,1996,32.7,5,0,0,37,47,1,15,43,44,0,0,0,351,42,57,42.4
125,Lilian Egloff\2f7fec15,de GER,MF,Stuttgart,17,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
126,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,25,1995,12.6,5,0,0,23,15,2,29,17,21,0,1,0,117,25,13,65.8
127,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,23,1996,28.2,1,0,0,15,15,1,2,64,33,0,0,0,273,95,51,65.1
128,Breel Embolo\0b4f388a,ch SUI,FWMF,M'Gladbach,23,1997,16.0,4,0,0,38,55,11,10,6,14,3,0,0,96,36,62,36.7
129,Keita Endo\1a83027b,jp JPN,MFFW,Union Berlin,22,1997,5.1,0,0,0,8,13,2,10,9,4,0,0,0,37,8,14,36.4
130,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,27,1993,32.8,5,0,0,53,63,0,5,47,62,1,0,0,394,67,46,59.3
131,Patrick Erras\e3f6253d,de GER,MFFW,Werder Bremen,25,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,58.3
132,Ralf Fährmann\1e43fad8,de GER,GK,Schalke 04,31,1988,20.8,2,0,0,0,3,0,0,0,0,0,0,0,114,0,0,
133,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,22,1997,29.0,5,0,0,29,26,1,7,36,24,0,1,1,278,109,52,67.7
134,Edimilson Fernandes\3bb625ac,ch SUI,MFDF,Mainz 05,24,1996,9.3,1,0,0,7,6,1,13,23,5,0,0,0,86,8,5,61.5
135,Alfreð Finnbogason\f9e7c4ac,is ISL,FW,Augsburg,31,1989,6.0,0,0,0,13,5,2,10,1,1,0,0,0,39,17,26,39.5
136,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,27,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
137,Florian Flick\9642c929,de GER,MF,Schalke 04,20,2000,4.0,1,0,0,6,3,0,0,6,7,0,0,0,38,5,8,38.5
138,Emil Forsberg\9a2e0ccc,se SWE,FWMF,RB Leipzig,28,1991,17.1,0,0,0,20,27,7,13,7,8,2,0,0,70,12,27,30.8
139,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,25,1995,16.8,4,0,0,27,28,4,19,16,22,0,0,0,101,12,15,44.4
140,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,22,1998,4.5,2,0,0,5,5,0,5,6,5,0,0,0,39,11,3,78.6
141,Raphael Framberger\626fab5f,de GER,DF,Augsburg,24,1995,17.1,6,1,1,15,12,1,42,27,16,0,2,1,157,22,32,40.7
142,Marco Friedl\f86ad3f5,at AUT,DF,Werder Bremen,22,1998,30.9,6,0,0,36,32,0,10,62,43,0,0,0,259,41,24,63.1
143,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,24,1995,34.0,1,0,0,29,25,2,9,44,39,0,1,0,348,93,68,57.8
144,Jeremie Frimpong\74f2e748,nl NED,DFFW,Leverkusen,19,2000,4.8,1,0,0,8,12,0,16,3,3,0,0,0,31,6,12,33.3
145,Niclas Füllkrug\4f16405e,de GER,FWMF,Werder Bremen,27,1993,9.7,1,0,0,15,17,15,3,4,5,1,0,0,28,58,77,43.0
146,Mijat Gaćinović\16daec92,rs SRB,DFMF,Hoffenheim,25,1995,9.1,5,0,0,15,9,0,18,17,9,0,0,0,99,7,11,38.9
147,Christian Gebauer\d847944b,at AUT,MFFW,Arminia,26,1993,7.6,0,0,0,8,10,0,8,8,6,0,1,0,67,9,22,29.0
148,Theodor Gebre Selassie\3f65898c,cz CZE,DF,Werder Bremen,33,1986,33.7,3,0,0,30,50,7,33,61,34,0,0,0,241,73,69,51.4
149,Emrehan Gedikli\62f94e47,de GER,FW,Leverkusen,17,2003,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
150,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,22,1998,7.3,4,1,0,17,9,0,12,5,11,0,1,0,55,2,7,22.2
151,Christian Gentner\a4f94a0d,de GER,MF,Union Berlin,34,1985,11.5,0,0,0,10,17,2,8,13,12,0,0,0,89,11,11,50.0
152,Yannick Gerhardt\62ab9184,de GER,MFFW,Wolfsburg,26,1994,21.5,3,0,0,39,31,5,25,17,37,0,0,0,191,27,45,37.5
153,Hamadi Al Ghaddioui\5723931e,ma MAR,FWMF,Stuttgart,29,1990,0.5,0,0,0,1,3,0,0,0,0,0,0,0,6,1,2,33.3
